keywords	B2B	B2C	3D打印	VR/AR	本地生活	汽车交通	工具软件	母婴	企业信息化	社交网络	O2O	金融	移动互联网	传媒	先进制造	传统硬件	IT服务	教育	房产服务	文化娱乐	游戏	体育	C2C	物流配送	生物医药	医疗健康	生鲜	机械制造	互联网金融	环保	广告营销	家政服务	旅游服务	大数据	P2P服务	招聘求职	新材料	智能硬件	可穿戴设备	装修装潢	电子设备	网络社区	影视动漫	云服务	食品饮料	人工智能	新能源	现代农业	物联网	企业服务
理化	0	0	0	0	0	2	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	3
乡镇	3	0	0	0	4	0	0	0	0	0	0	1	2	0	1	1	1	1	1	0	0	0	1	1	1	3	0	0	3	3	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1
投资商	0	1	0	0	1	1	2	0	0	0	0	0	13	0	0	0	2	0	3	0	1	0	0	0	0	1	0	0	4	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
气候	0	0	0	0	2	3	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	2	1	0	0	0	0	0	0	2	0	0	0	5	0	0	4	1	4
优点	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9	1	2	0	0	1	0	0	0	0	0	1	0	0	0	8	1	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	1	0	0	3
话题	0	2	0	0	1	0	0	0	0	8	1	0	12	1	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
面板	0	0	0	0	1	3	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	1	0	0	7	0	0	0	0	0	1	0	0	4
基石	0	0	0	0	0	2	0	0	0	0	0	1	1	2	1	1	2	0	3	1	0	0	0	1	0	2	0	0	3	2	1	0	0	1	3	0	1	1	0	1	2	0	0	0	0	0	0	0	0	3
lcd	0	0	0	0	0	1	1	0	0	0	0	0	0	0	10	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	13	0	0	0	0	0	0	0	0	2
移植	0	0	0	1	1	0	2	0	0	0	0	0	10	0	0	0	4	1	0	0	5	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
soho	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	1	0	5	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
催化剂	0	0	0	0	1	1	0	0	0	0	0	2	0	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	17	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	3
材质	0	0	1	0	0	1	0	0	0	0	0	0	0	0	17	1	2	0	0	1	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	2
单机	0	0	0	0	0	1	2	0	0	0	0	0	6	0	8	0	3	0	0	0	3	0	0	0	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	3
信息工程	0	0	0	0	1	1	7	0	0	0	0	1	4	0	1	1	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
华人	0	2	0	0	0	0	1	0	0	4	0	2	9	0	0	0	4	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0
片区	0	0	0	0	0	1	1	0	0	0	0	1	1	0	2	0	0	0	21	1	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
附加值	0	0	0	0	1	1	0	0	0	0	0	0	4	2	3	0	6	0	0	1	0	0	0	0	0	1	0	1	1	2	0	0	0	1	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	5
成分	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	1	0	0	0	0	0	1	7	0	0	0	7	0	0	0	1	0	0	0	0	0	0	2	0	1	0	5	0	0	0	0	4
特许经营	0	0	0	0	3	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	16	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	3
代表性	0	0	0	0	0	0	1	0	0	0	0	2	2	2	6	0	0	0	8	0	1	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	3
选型	1	1	0	0	0	0	5	0	0	0	0	0	1	0	6	0	2	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	4
制动	0	1	0	0	0	19	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
进展	0	1	0	0	0	2	0	0	0	0	0	0	5	0	3	0	4	0	0	0	1	0	1	1	0	2	0	0	1	3	1	0	0	1	0	0	1	0	0	1	2	0	0	1	0	0	1	0	0	3
剂型	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
旅行者	0	0	0	0	0	1	0	0	0	1	0	0	20	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
机型	0	0	0	0	0	5	1	0	0	0	0	0	2	0	15	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	1	1
考核	0	0	0	0	2	1	3	0	0	0	0	2	1	0	4	0	5	5	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5
ai	0	0	0	1	0	1	1	0	0	0	0	3	3	0	3	0	4	3	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	6	0	0	0	1
直升机	0	0	0	0	0	3	1	0	0	0	0	0	0	0	21	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	3
期刊	1	0	0	0	1	0	0	0	0	2	0	0	8	6	2	0	2	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2
游艇	0	0	0	0	1	2	0	0	0	0	0	1	0	0	14	0	1	0	6	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	3
嵌入式软件	0	0	0	0	0	0	12	0	1	0	0	0	4	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3
光电子	0	0	0	0	0	0	2	0	0	0	0	1	2	0	12	1	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	8	0	0	0	0	0	0	0	0	3
会员卡	0	0	0	0	1	0	3	0	0	1	0	0	11	0	0	0	3	0	0	1	1	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0
会员制	2	2	0	0	3	2	0	0	0	1	1	1	5	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	1
产地	0	2	0	0	9	1	0	0	0	0	4	1	2	0	1	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	2	1	0
锻件	0	0	0	0	0	9	0	0	0	0	0	0	0	0	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1
低价	3	2	0	1	3	1	0	0	0	0	2	0	10	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	1	0	0	1	0	2
标志性	0	0	0	0	1	2	0	0	0	0	0	0	1	0	5	1	2	0	10	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	1	2	2
；旅游	0	0	0	0	1	2	0	0	0	1	0	4	2	1	0	0	0	0	3	2	0	0	0	0	0	1	0	0	1	2	0	0	9	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	3
项目经理	0	0	0	0	2	0	0	0	0	0	0	1	4	0	0	0	11	1	2	0	1	0	0	0	0	1	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8
教室	0	0	2	0	0	0	4	0	0	0	0	0	8	1	0	1	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
河道	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	25	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1
车床	0	1	0	0	1	2	0	2	0	0	0	0	1	0	21	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2
振动	0	0	0	0	0	5	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	1	0	2	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4
冷却	0	0	0	0	0	7	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	1	0	3
microsoft	0	0	0	0	0	0	10	0	0	0	0	0	4	0	1	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
wi-fi	0	0	0	0	0	1	3	0	0	0	0	0	7	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	4	0	0	2	0	0	0	0	0	0	0	3	4
份额	0	0	1	0	0	3	1	0	0	0	0	4	4	0	7	0	1	1	0	1	1	0	0	0	0	1	0	0	2	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	2
城建	0	0	0	0	2	0	1	0	0	0	0	3	3	0	4	0	4	0	12	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
出版物	1	0	0	0	0	1	3	0	0	0	0	0	5	7	0	0	2	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
筛查	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	25	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
税收	0	0	0	0	2	0	2	0	0	0	0	2	1	0	7	0	0	0	1	0	0	0	0	1	0	4	0	0	1	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	6
haccp	0	0	0	0	2	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	4	1	3
cisco	0	0	0	0	0	0	3	0	0	0	0	0	7	0	2	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	5
神经	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	0	0	1	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	1	3
全称	0	0	0	0	0	1	1	0	0	0	0	0	5	1	2	0	2	1	1	2	0	0	0	0	0	0	0	1	6	1	0	0	0	0	6	0	0	0	0	2	2	0	1	0	0	0	0	0	0	1
回报率	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
内涵	0	0	0	0	4	1	1	0	1	0	0	0	2	0	2	0	5	0	0	2	0	0	0	2	0	3	0	0	1	1	0	0	2	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	4
internet	0	1	0	0	1	0	4	0	1	2	1	1	9	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5
首席	0	0	0	0	2	3	2	0	0	1	0	1	7	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	3	3	1	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	1	0	2
组成部分	0	0	0	0	0	0	2	0	1	0	0	3	3	0	5	0	2	1	6	0	0	0	0	0	0	2	0	0	1	4	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2
新车	1	0	0	0	4	10	0	0	0	0	2	2	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1
ol	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ii	0	0	0	0	1	2	2	0	0	0	0	3	1	0	4	0	3	0	1	0	0	1	0	0	1	12	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
卡通	0	0	0	0	0	0	1	1	0	2	0	1	8	4	0	0	0	2	0	5	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	4	0	2	0	0	0	0	0
理事长	0	0	0	0	1	1	2	0	1	0	0	0	5	0	3	0	4	1	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	2	0	0	5	0	0	1	2	0	0	0	0	0	0	2	0	2
小说	0	0	0	0	0	0	0	0	0	2	0	0	10	5	0	0	0	0	0	9	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1
网络通信	0	0	0	0	2	0	3	0	1	0	0	0	3	1	0	2	7	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	6
给水	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	1	0	0	0	0	0	20	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	4
期望	0	0	0	0	1	2	2	0	0	2	1	0	3	1	4	0	2	0	0	0	0	0	0	0	0	1	0	0	3	3	1	0	0	0	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0	5
细节	1	0	0	0	2	2	1	0	0	2	1	1	6	1	2	0	2	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	2	0	1	1	1	0	0	0	0	4
忠诚度	0	1	0	0	1	0	0	0	0	0	0	0	11	1	0	0	3	0	1	0	0	0	0	1	0	0	0	0	4	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	8
调节	0	0	0	0	2	2	0	0	0	1	0	0	1	0	5	0	1	0	0	1	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	2	1	0	1	3	0	0	0	0	0	1	0	1	5
攻关	0	0	0	0	0	2	2	0	0	0	0	0	1	0	7	0	2	0	0	0	0	0	0	0	0	5	0	0	0	10	0	0	0	0	0	0	2	1	0	0	4	0	0	0	0	0	0	0	1	0
之乡	0	1	0	0	0	2	0	0	0	0	1	0	0	0	14	0	0	0	0	0	0	1	0	0	0	2	1	0	0	5	0	0	0	0	0	0	4	0	0	0	1	0	0	0	3	0	0	1	0	1
与其	0	0	0	0	0	1	0	0	0	1	0	3	7	2	2	0	1	0	3	2	0	0	0	0	0	1	0	0	4	1	1	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	3
电讯	0	0	0	0	0	0	3	0	0	0	0	0	13	0	3	0	5	0	5	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3
油气	0	0	0	0	0	0	3	0	0	0	0	1	1	0	12	0	1	0	1	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4
开发技术	0	0	1	0	0	3	6	0	0	0	0	0	9	0	2	1	1	1	0	0	5	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
有线电视	0	1	0	0	0	0	4	0	1	0	0	1	4	3	1	0	8	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	5
bpo	0	0	0	0	0	0	4	0	1	0	0	3	3	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	8
聚合物	0	0	1	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	8	0	0	0	0	0	0	8	0	0	0	5	0	0	0	0	0	4	0	0	3
图像识别	0	1	1	0	1	0	4	0	0	0	1	0	5	0	4	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	5
新品	0	0	0	0	1	0	1	0	0	0	0	0	4	1	3	0	2	0	2	0	0	0	0	0	0	2	0	0	2	2	3	0	0	0	0	1	3	0	0	0	3	1	0	0	0	0	0	1	0	5
单晶硅	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	24	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0
电工	0	0	0	0	0	1	1	0	0	0	0	0	1	1	14	0	0	1	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	2	1	0	0	5	0	0	0	0	0	1	0	0	3
支柱	0	0	0	0	1	2	5	0	0	0	0	5	0	0	9	0	1	0	1	1	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	2
网络应用	0	0	0	0	1	0	4	0	0	1	0	0	9	0	0	0	12	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1
外汇	2	0	0	0	0	0	4	0	0	0	0	11	2	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3
优酷	0	0	0	0	0	0	0	0	0	1	0	0	7	10	0	0	1	1	0	6	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1
大城市	0	0	0	0	3	3	1	0	0	0	0	0	6	0	4	0	3	0	3	1	0	0	0	0	0	2	0	0	1	2	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4
sap	0	0	0	0	0	0	5	0	2	0	0	0	6	0	1	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6
供求	2	1	0	0	1	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	10	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0
防盗	0	0	0	0	0	0	3	0	0	0	0	1	4	0	6	1	6	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	2	4
发卡	0	0	0	0	0	0	0	0	0	0	0	2	13	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
造船	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
额度	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
行程	0	1	0	0	0	0	0	0	0	2	1	0	15	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
预期	0	0	0	0	1	1	3	0	1	0	1	2	3	1	2	0	2	0	4	0	0	0	0	0	0	2	0	0	1	3	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	2
净水	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	23	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	1	0	1	2
农牧	0	0	0	0	2	0	0	0	0	0	0	3	1	0	3	0	2	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	5	0	1	10	0	2
天线	0	0	0	0	0	1	0	0	0	0	0	0	4	0	12	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	9	0	0	0	0	0	0	0	0	3
焊机	0	0	0	0	0	4	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0
标识	0	0	0	0	1	3	1	0	0	0	0	1	6	1	4	0	3	0	2	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	2	2
处理器	0	0	0	0	0	2	2	0	0	1	0	0	3	1	6	0	4	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	1	0	5	0	1	2	0	1	0	0	1	0
融投资	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
科室	0	0	0	0	1	0	1	0	1	0	0	0	5	0	0	0	2	0	1	0	0	1	0	0	2	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
光热	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1
券商	0	0	0	0	0	0	3	0	0	0	0	13	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	9	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
